# Modelo: Erdos Renyi
# Parametros: {'n': 30, 'p': 0.2}
# Vertices: 30
# Arestas: 81
# FromNodeId	ToNodeId
0	2
0	8
0	10
0	13
0	14
0	20
0	24
0	27
0	28
1	14
1	17
1	19
1	29
2	4
2	13
3	8
3	9
3	10
3	14
3	20
3	26
4	8
4	14
4	19
4	21
4	26
4	29
5	7
5	10
5	25
6	8
6	13
6	17
6	23
6	24
7	9
7	14
7	23
7	29
8	12
8	23
8	29
9	13
9	15
9	16
9	20
10	18
10	22
10	29
11	17
11	22
11	23
11	24
12	18
12	21
12	28
12	29
13	19
13	20
13	28
14	18
14	24
15	19
15	28
15	29
16	26
16	28
17	19
17	29
18	25
19	26
20	25
21	28
21	29
23	24
23	25
23	29
24	27
25	28
26	28
27	28
