# Modelo: Erdos Renyi
# Parâmetros: {'n': 50, 'p': 0.2}
# Vértices: 50
# Arestas: 232
# FromNodeId	ToNodeId
0	2
0	8
0	10
0	13
0	14
0	20
0	24
0	27
0	28
0	42
0	45
0	47
1	9
1	11
1	20
1	41
1	42
1	43
1	47
2	6
2	12
2	19
2	25
2	30
2	32
2	37
2	40
2	42
2	45
3	14
3	20
3	25
3	29
3	35
3	36
3	43
3	48
4	12
4	18
4	22
4	33
4	39
4	43
4	45
4	46
5	6
5	23
5	27
5	34
5	40
5	45
5	46
5	47
6	15
6	18
6	25
6	26
6	32
6	33
6	41
6	46
7	10
7	19
7	28
7	29
7	39
7	41
7	44
8	13
8	20
8	31
8	39
9	10
9	11
9	19
9	20
9	24
9	27
9	32
9	35
9	37
9	40
10	26
10	31
10	35
10	47
11	21
11	25
11	27
11	29
11	32
11	34
11	36
11	45
11	46
12	18
12	19
12	20
12	21
12	27
12	30
12	33
12	34
12	40
12	43
12	47
13	21
13	38
13	44
13	46
14	18
14	20
14	28
14	41
14	42
14	43
14	46
15	19
15	20
15	22
15	23
15	29
15	36
15	37
15	42
15	44
15	45
15	49
16	34
16	35
16	36
16	37
17	24
17	25
17	30
17	36
17	37
17	41
17	49
18	23
18	27
18	48
19	28
19	32
19	35
19	39
20	36
20	43
20	48
21	29
21	40
22	27
22	28
22	34
22	40
22	44
22	48
22	49
23	28
23	32
23	36
23	44
24	33
25	30
25	33
25	34
25	46
25	48
26	34
26	42
26	44
26	49
27	32
27	36
27	38
27	45
27	47
28	30
28	35
28	41
28	42
28	48
29	31
29	33
29	39
29	41
29	43
29	44
29	46
29	48
29	49
30	34
30	35
30	42
30	45
31	33
31	39
31	40
31	42
32	34
32	46
33	34
33	36
33	38
33	39
33	46
34	44
35	41
35	45
35	49
36	40
36	42
37	39
37	40
37	41
38	39
38	45
38	48
39	41
39	44
39	46
40	43
40	45
40	46
41	45
41	46
42	45
43	48
44	45
45	49
46	47
47	49
