# Modelo: Barabasi Albert
# Parâmetros: {'n': 60, 'm': 3}
# Vértices: 60
# Arestas: 171
# FromNodeId	ToNodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	10
0	13
0	18
0	21
0	25
0	41
0	43
0	49
0	53
0	54
1	5
1	8
1	12
1	31
1	32
1	43
1	47
1	51
2	4
2	6
3	4
3	13
3	14
3	18
3	19
3	27
3	29
3	34
3	36
3	44
3	46
3	50
4	5
4	9
4	10
4	11
4	12
4	16
4	20
4	21
4	25
4	29
4	30
4	34
4	37
4	38
4	52
4	55
4	56
4	58
5	6
5	7
5	8
5	9
5	11
5	15
5	16
5	17
5	18
5	20
5	23
5	24
5	31
5	33
5	38
5	44
5	56
6	7
6	8
6	11
6	12
6	13
6	24
6	26
6	28
6	39
6	40
6	43
6	45
6	46
6	51
6	57
7	9
7	10
7	14
7	15
7	19
7	20
7	21
7	25
7	30
7	33
7	41
7	44
7	49
7	56
7	58
8	14
8	22
8	35
8	39
8	58
9	26
9	42
9	57
10	17
10	19
10	23
10	24
10	40
10	48
10	53
12	15
12	22
12	29
12	46
12	47
12	50
12	51
12	55
13	35
13	59
14	16
14	17
14	27
14	30
14	32
14	48
14	59
16	22
16	28
16	48
16	53
19	33
19	52
20	23
22	27
22	31
22	34
22	45
23	57
24	39
25	26
25	36
25	45
25	47
26	28
26	36
27	37
27	38
29	42
30	32
30	54
33	55
34	35
34	37
34	40
34	52
36	42
39	41
41	49
43	59
44	54
45	50
