# Modelo: Watts Strogatz
# Parâmetros: {'n': 50, 'k': 4, 'p': 0.25}
# Vértices: 50
# Arestas: 100
# FromNodeId	ToNodeId
0	1
0	2
0	48
0	42
1	3
1	49
1	17
2	4
2	8
2	6
3	4
3	20
3	25
4	5
4	6
5	6
5	7
6	27
6	21
6	47
7	9
7	13
8	10
8	38
9	12
9	36
10	11
10	12
10	27
11	12
11	13
12	13
12	14
13	14
13	15
14	15
14	16
14	35
15	16
15	17
15	48
16	17
16	18
17	27
17	44
17	35
18	19
18	20
19	21
19	48
20	21
20	22
21	23
22	23
22	24
22	43
23	24
23	25
24	25
24	49
24	31
24	30
25	29
26	27
26	28
27	28
28	29
28	30
29	30
29	31
30	31
31	32
31	33
32	33
32	34
33	34
33	35
34	35
34	36
34	37
35	37
36	37
36	38
37	38
38	39
38	40
39	40
39	41
40	41
40	42
40	47
41	42
41	43
42	43
43	45
44	46
45	46
45	47
46	47
46	48
