# Modelo: Watts Strogatz
# Parâmetros: {'n': 60, 'k': 4, 'p': 0.25}
# Vértices: 60
# Arestas: 120
# FromNodeId	ToNodeId
0	1
0	2
0	32
1	3
1	59
1	17
2	4
2	8
2	56
3	4
3	5
3	15
4	5
4	6
5	6
5	7
6	8
6	27
6	21
7	13
7	35
8	10
8	38
9	11
9	12
10	11
10	12
10	17
11	12
11	13
12	13
12	14
13	14
13	15
14	15
14	35
14	31
15	16
15	48
16	17
16	18
17	27
17	44
18	19
18	20
19	21
19	48
19	38
20	21
20	53
20	24
20	46
21	23
22	23
22	24
22	43
23	24
23	25
23	41
23	48
24	25
24	26
24	49
25	27
25	29
26	27
26	28
27	28
27	56
27	31
28	29
28	30
29	30
29	31
30	31
30	32
31	32
32	33
33	34
33	35
34	35
34	36
35	37
36	37
36	38
36	59
37	38
37	58
38	39
39	40
39	41
40	41
40	42
40	47
41	42
42	43
42	44
42	58
43	45
44	46
45	46
45	47
46	47
46	54
47	49
48	56
49	51
50	51
50	52
51	52
51	53
52	53
52	56
53	55
54	55
55	56
55	57
57	58
57	59
58	59
