# Modelo: Erdos Renyi
# Parâmetros: {'n': 34, 'p': 0.2}
# Vértices: 34
# Arestas: 106
# FromNodeId	ToNodeId
0	2
0	8
0	10
0	13
0	14
0	20
0	24
0	27
0	28
1	10
1	13
1	15
1	25
1	27
2	5
2	26
2	27
2	28
2	32
3	8
3	14
3	21
3	27
3	32
4	5
4	10
4	13
4	15
4	18
4	33
5	11
5	16
5	20
5	26
5	27
6	7
6	12
6	21
6	27
6	31
7	16
7	22
7	26
7	28
7	29
7	33
8	25
8	29
9	12
9	18
9	23
9	24
9	25
10	13
10	16
10	23
10	24
10	30
10	31
11	17
11	22
11	28
12	16
12	25
12	26
13	16
13	18
13	21
13	31
14	19
14	30
15	20
15	31
15	32
16	23
16	24
16	28
16	31
17	20
17	23
17	25
17	28
19	24
19	29
19	33
20	32
21	32
22	25
22	27
22	29
22	32
23	24
23	26
24	26
24	27
25	28
25	29
25	30
25	31
26	30
26	33
27	30
27	31
28	32
29	31
30	32
