# Modelo: Erdos Renyi
# Parâmetros: {'n': 60, 'p': 0.2}
# Vértices: 60
# Arestas: 330
# FromNodeId	ToNodeId
0	2
0	8
0	10
0	13
0	14
0	20
0	24
0	27
0	28
0	42
0	45
0	47
0	57
0	59
1	10
1	31
1	32
1	33
1	37
1	43
1	49
1	56
2	5
2	10
2	12
2	17
2	20
2	22
2	25
2	40
2	46
2	51
2	55
3	5
3	6
3	13
3	18
3	27
3	33
3	37
3	48
3	54
3	58
4	5
4	6
4	10
4	27
4	31
4	38
4	44
4	49
4	50
4	51
5	8
5	11
5	18
5	19
5	25
5	26
5	34
5	39
5	45
5	54
6	10
6	11
6	21
6	23
6	26
6	36
6	43
6	54
7	10
7	21
7	22
7	30
7	31
7	35
7	38
7	43
7	46
7	48
7	51
8	25
8	30
8	34
8	46
8	58
9	12
9	14
9	16
9	19
9	21
9	23
9	32
9	33
9	42
9	43
9	44
9	45
9	51
9	54
9	57
9	58
10	15
10	18
10	22
10	32
10	49
10	55
10	57
11	16
11	18
11	26
11	39
11	40
11	41
11	44
11	51
11	52
11	54
11	55
12	14
12	21
12	22
12	27
12	29
12	30
12	34
12	52
12	53
12	54
12	55
13	28
13	29
13	34
13	40
13	41
13	45
13	53
13	58
14	17
14	38
14	48
14	52
14	55
14	59
15	41
15	48
15	53
16	19
16	30
16	44
16	45
16	51
16	57
17	19
17	23
17	24
17	29
17	33
17	37
17	45
17	59
18	39
18	42
18	43
18	55
18	57
19	26
19	34
19	36
19	41
19	46
19	50
19	52
19	59
20	22
20	26
20	31
20	37
20	38
20	44
20	47
20	49
20	55
20	57
20	59
21	22
21	24
21	26
21	27
21	31
21	32
21	39
21	42
21	48
21	54
21	55
21	57
22	29
22	41
22	45
22	47
22	49
22	50
22	57
23	34
23	45
23	49
23	53
23	57
23	59
24	33
24	34
24	35
24	44
24	50
24	53
24	56
24	59
25	27
25	33
25	35
25	36
25	43
25	44
25	50
25	59
26	28
26	36
26	37
26	41
26	53
26	54
26	58
27	30
27	32
27	46
27	47
27	48
27	53
27	58
28	35
28	36
28	45
29	35
29	40
29	41
29	43
29	47
29	50
29	52
29	56
30	51
30	56
31	35
31	41
31	42
31	47
31	52
31	56
31	59
32	33
32	39
32	42
32	46
32	49
32	52
32	58
33	34
33	44
33	52
33	55
34	36
34	40
34	41
34	42
34	49
34	54
35	43
35	48
35	55
36	39
36	45
36	48
36	49
37	42
37	54
37	59
38	43
38	52
38	54
38	56
39	42
39	49
39	58
40	43
40	44
40	45
40	46
40	56
41	42
41	44
41	51
41	52
42	50
42	51
43	45
43	52
43	58
44	52
44	58
45	58
46	47
46	53
47	48
47	51
47	52
48	49
49	56
50	55
50	59
51	53
51	55
51	56
51	58
52	58
52	59
53	59
55	59
