# Modelo: Barabasi Albert
# Parâmetros: {'n': 31, 'm': 3}
# Vértices: 31
# Arestas: 84
# FromNodeId	ToNodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	10
0	13
0	18
0	21
0	25
1	5
1	8
1	12
2	4
2	6
3	4
3	13
3	14
3	18
3	19
3	27
3	29
4	5
4	9
4	10
4	11
4	12
4	16
4	20
4	21
4	25
4	29
4	30
5	6
5	7
5	8
5	9
5	11
5	15
5	16
5	17
5	18
5	20
5	23
5	24
6	7
6	8
6	11
6	12
6	13
6	24
6	26
6	28
7	9
7	10
7	14
7	15
7	19
7	20
7	21
7	25
7	30
8	14
8	22
9	26
10	17
10	19
10	23
10	24
12	15
12	22
12	29
14	16
14	17
14	27
14	30
16	22
16	28
20	23
22	27
25	26
26	28
